price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
1520000.0,2.0,56.9,6.0,37.0,1.0,"Амурская ул.,  1Ак1","37.757853,55.807739",,,,,,,,,,,,,,,
264000.0,1.0,11.0,1.0,5.0,0.0,"Мытная ул.,  25","37.619971,55.716336",,,,,,,,,,,,,,,
2850000.0,2.0,68.0,10.0,15.0,1.0,"Ходынский б-р,  20А","37.523213,55.790782",,,,,,,,,,,,,,,
455000.0,1.0,10.0,1.0,5.0,0.0,"ул. Чаплыгина,  8с1","37.646830,55.763366",,,,,,,,,,,,,,,
700000.0,1.0,15.3,5.0,8.0,0.0,"Электрозаводская ул.,  14с1","37.706766,55.787513",,,,,,,,,,,,,,,
4850000.0,2.0,77.0,6.0,10.0,1.0,"ул. Палиха,  4","37.598582,55.783757",,,,,,,,,,,,,,,
620000.0,1.0,19.0,4.0,5.0,0.0,"ул. 50 лет Октября,  2к2","37.416754,55.653766",,,,,,,,,,,,,,,
1869000.0,3.0,73.8,10.0,16.0,1.0,"Варшавское ш., 154к2","37.597163,55.587453",,,,,,,,,,,,,,,
1280000.0,1.0,44.6,10.0,15.0,1.0,"6-я Радиальная ул.,  5к4","37.662506,55.603446",,,,,,,,,,,,,,,
1430000.0,3.0,65.0,3.0,9.0,1.0,"Ставропольская ул.,  58к1","37.770493,55.681920",,,,,,,,,,,,,,,
990000.0,1.0,30.1,5.0,5.0,1.0,"Измайловский б-р,  66","37.817834,55.796658",,,,,,,,,,,,,,,
1213900.0,2.0,37.4,2.0,12.0,1.0,"ул. Гастелло,  4","37.681479,55.786546",,,,,,,,,,,,,,,
865000.0,1.0,20.0,6.0,20.0,0.0,"Саларьевская ул.,  16к3","37.407304,55.616880",,,,,,,,,,,,,,,
1280000.0,2.0,52.0,6.0,12.0,1.0,"ул. Плещеева, 22","37.617303,55.887937",,,,,,,,,,,,,,,
1750000.0,2.0,52.4,11.0,14.0,1.0,"Большая Черёмушкинская ул.,  2к4","37.598609,55.691344",,,,,,,,,,,,,,,
1330000.0,2.0,46.0,7.0,9.0,1.0,"Матвеевская ул.,  10к2","37.472764,55.704108",,,,,,,,,,,,,,,
1349900.0,1.0,43.2,6.0,22.0,1.0,"16-я Парковая ул.,  12","37.827589,55.799699",,,,,,,,,,,,,,,
930000.0,1.0,32.4,3.0,9.0,1.0,"ул. Академика Миллионщикова,  18","37.643597,55.667198",,,,,,,,,,,,,,,
408000.0,1.0,17.1,1.0,6.0,0.0,"Мытная ул.,  25","37.619971,55.716336",,,,,,,,,,,,,,,
825000.0,1.0,40.0,4.0,12.0,1.0,"Загорьевский пр.,  7к2","37.666171,55.574207",,,,,,,,,,,,,,,
2130000.0,2.0,61.0,9.0,29.0,1.0,"ул. Ивана Франко,  6","37.450872,55.727841",,,,,,,,,,,,,,,
1080000.0,2.0,45.7,8.0,9.0,1.0,"Елецкая ул.,  31к1","37.736446,55.602347",,,,,,,,,,,,,,,
2499000.0,1.0,50.7,23.0,46.0,1.0,"Новодмитровская ул.,  2к5","37.591036,55.803575",,,,,,,,,,,,,,,
1350000.0,2.0,53.3,16.0,17.0,1.0,"Чертановская ул.,  48к2","37.588305,55.607646",,,,,,,,,,,,,,,
953300.0,2.0,31.4,12.0,18.0,1.0,"ул. Вертолётчиков,  4к5","37.945179,55.703479",,,,,,,,,,,,,,,
920000.0,1.0,38.8,3.0,14.0,1.0,"ул. Плещеева,  14А","37.612542,55.885221",,,,,,,,,,,,,,,
5721930.0,3.0,77.1,3.0,6.0,1.0,"ул. Малая Ордынка,  19","37.625963,55.736939",,,,,,,,,,,,,,,
1280000.0,1.0,41.0,5.0,14.0,1.0,"Мячковский б-р,  27","37.763638,55.650282",,,,,,,,,,,,,,,
455000.0,1.0,14.5,1.0,9.0,0.0,"Родниковая ул.,  18","37.619971,55.716336",,,,,,,,,,,,,,,
2360000.0,2.0,60.0,11.0,25.0,1.0,"Аминьевское ш.,  4Дк1","37.466494,55.699994",,,,,,,,,,,,,,,
1020000.0,1.0,37.6,9.0,17.0,1.0,"Ангелов пер., 13","37.343937,55.852122",,,,,,,,,,,,,,,
2153494.0,2.0,55.8,3.0,12.0,1.0,"ул. Ивана Франко, корп. 4.2","37.454375,55.728170",,,,,,,,,,,,,,,
1316315.0,1.0,26.3,15.0,21.0,0.0,"ул. Берзарина, д. 32","37.470177,55.790782",,,,,,,,,,,,,,,
1330000.0,2.0,44.0,5.0,9.0,1.0,"5-я Кожуховская ул.,  22к1","37.676619,55.704778",,,,,,,,,,,,,,,
4860000.0,2.0,56.0,4.0,7.0,1.0,"Шлюзовая наб.,  2А","37.644019,55.730953",,,,,,,,,,,,,,,
4500000.0,2.0,85.0,32.0,51.0,1.0,"Шмитовский пр.,  39к8","37.526295,55.751665",,,,,,,,,,,,,,,
2900000.0,4.0,100.0,16.0,22.0,1.0,"ул. Островитянова,  32","37.523240,55.632540",,,,,,,,,,,,,,,
435100.0,1.0,13.6,1.0,9.0,0.0,"Юрловский пр.,  19","37.615919,55.871961",,,,,,,,,,,,,,,
2500000.0,2.0,59.3,21.0,23.0,1.0,"ул. Берзарина,  30","37.474444,55.790712",,,,,,,,,,,,,,,
29140000.0,2.0,186.0,6.0,6.0,1.0,"Пречистенская наб.,  5","37.600846,55.736584",,,,,,,,,,,,,,,
2800000.0,3.0,116.0,1.0,5.0,1.0,"ул. Гончарова,  17Ак4","37.588144,55.817638",,,,,,,,,,,,,,,
530000.0,1.0,20.0,1.0,9.0,0.0,"Ореховый б-р,  37к3","37.736994,55.616437",,,,,,,,,,,,,,,
4300000.0,2.0,63.1,16.0,21.0,1.0,"Пресненская наб.,  10с2","37.535071,55.747622",,,,,,,,,,,,,,,
6328800.0,3.0,93.3,7.0,10.0,1.0,"ул. Малая Полянка,  2","37.616773,55.736427",,,,,,,,,,,,,,,
2940000.0,2.0,51.0,30.0,46.0,1.0,"Дубининская ул., 59А","37.637093,55.718486",,,,,,,,,,,,,,,
890000.0,1.0,32.8,4.0,9.0,1.0,"Днепропетровская ул.,  31","37.586006,55.618679",,,,,,,,,,,,,,,
1777000.0,2.0,40.5,9.0,9.0,1.0,"ул. Пресненский Вал,  8к1","37.564868,55.765357",,,,,,,,,,,,,,,
1430020.0,2.0,49.9,21.0,45.0,1.0,"ш. Перовское, д. 21, корп. 1","37.746552,55.736159",,,,,,,,,,,,,,,
435000.0,1.0,11.7,1.0,9.0,0.0,"Уральская ул.,  8","37.619522,55.732550",,,,,,,,,,,,,,,
1250000.0,1.0,32.9,5.0,12.0,1.0,"Большая Очаковская ул.,  15","37.458346,55.682640",,,,,,,,,,,,,,,
312000.0,1.0,13.0,1.0,5.0,0.0,"Мытная ул.,  25","37.619971,55.716336",,,,,,,,,,,,,,,
2000000.0,2.0,60.0,18.0,18.0,1.0,"Жигулёвская ул.,  3Ак2","37.765749,55.712320",,,,,,,,,,,,,,,
2569809.0,1.0,47.3,34.0,50.0,1.0,"ул. Лобачевского/платформа «Матвеевская», кв-л 4.2","37.644073,55.627829",,,,,,,,,,,,,,,
2508540.0,3.0,89.5,12.0,12.0,1.0,"3-й Балтийский пер.,  6к3","37.530355,55.811558",,,,,,,,,,,,,,,
2790000.0,3.0,81.2,16.0,17.0,1.0,"ул. Кашёнкин Луг,  8к3","37.595860,55.825917",,,,,,,,,,,,,,,
2780000.0,2.0,62.0,14.0,22.0,1.0,"Ленинский пр-т,  107к2","37.515380,55.662781",,,,,,,,,,,,,,,
1524000.0,1.0,25.0,6.0,7.0,0.0,"Живарёв пер.,  8с1","37.642905,55.776634",,,,,,,,,,,,,,,
4930000.0,3.0,100.0,9.0,22.0,1.0,"Маломосковская ул.,  14","37.647675,55.812752",,,,,,,,,,,,,,,
1745000.0,2.0,59.7,7.0,23.0,1.0,"Красноказарменная ул.,  14Ак2","37.706973,55.753230",,,,,,,,,,,,,,,
1900000.0,3.0,73.4,5.0,22.0,1.0,"Дмитровское ш.,  64к4","37.564042,55.855078",,,,,,,,,,,,,,,
5250000.0,4.0,134.9,9.0,31.0,1.0,"Береговой пр.,  3","37.508867,55.757379",,,,,,,,,,,,,,,
1525000.0,2.0,53.0,12.0,14.0,1.0,"ул. Академика Комарова,  11","37.589500,55.829401",,,,,,,,,,,,,,,
1717038.0,1.0,31.2,9.0,22.0,1.0,"ул. Полковая, вл. 1","37.599983,55.797817",,,,,,,,,,,,,,,
1695000.0,1.0,34.2,19.0,28.0,1.0,"ул. Золоторожский Вал,  11к18","37.702104,55.750499",,,,,,,,,,,,,,,
1016880.0,2.0,61.5,16.0,45.0,1.0,"Михневская ул.,  8","37.671094,55.579694",,,,,,,,,,,,,,,
1200000.0,2.0,45.0,2.0,9.0,1.0,"ул. 800-летия Москвы,  5к1","37.554484,55.880091",,,,,,,,,,,,,,,
1550000.0,3.0,57.6,2.0,9.0,1.0,"Халтуринская ул.,  17","37.724220,55.803332",,,,,,,,,,,,,,,
630600.0,1.0,35.2,5.0,9.0,1.0,"Чертановская ул.,  43к1","37.591431,55.608363",,,,,,,,,,,,,,,
1350000.0,3.0,78.1,11.0,19.0,1.0,"рп. Дрожжино, Новое ш.,  6к2","37.588413,55.524105",,,,,,,,,,,,,,,
320000.0,1.0,15.0,1.0,5.0,0.0,"Волоколамское ш.,  80А","37.461876,55.820369",,,,,,,,,,,,,,,
5000000.0,2.0,115.0,5.0,6.0,1.0,"Береговая ул.,  4к10","37.470464,55.829633",,,,,,,,,,,,,,,
1315000.0,1.0,37.0,4.0,16.0,1.0,"Ярцевская ул.,  27к7","37.413879,55.743193",,,,,,,,,,,,,,,
4000000.0,3.0,80.0,10.0,24.0,1.0,"Хорошёвское ш.,  25Ак2","37.527238,55.775307",,,,,,,,,,,,,,,
3957200.0,2.0,66.1,10.0,11.0,1.0,"Кутузовский пр-т,  12","37.557268,55.748888",,,,,,,,,,,,,,,
1854999.0,1.0,38.7,3.0,31.0,1.0,"Красноказарменная ул.,  14Ас3","37.708967,55.752460",,,,,,,,,,,,,,,
575000.0,1.0,13.0,2.0,5.0,0.0,"Херсонская ул.,  41А","37.557502,55.653878",,,,,,,,,,,,,,,
1679000.0,2.0,52.0,12.0,12.0,1.0,"10-я Парковая ул.,  4","37.803065,55.794335",,,,,,,,,,,,,,,
2500000.0,3.0,56.0,1.0,9.0,1.0,"Старая Басманная ул., 9к2","37.657071,55.765817",,,,,,,,,,,,,,,
1294022.0,2.0,46.0,2.0,21.0,1.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
1350000.0,2.0,47.0,7.0,14.0,1.0,"Полярная ул.,  50","37.646238,55.888574",,,,,,,,,,,,,,,
12700000.0,3.0,131.0,5.0,7.0,1.0,"ул. Льва Толстого,  23к7с3","37.497486,55.772502",,,,,,,,,,,,,,,
1450000.0,2.0,52.5,4.0,12.0,1.0,"ул. Ивана Франко,  38к1","37.414490,55.728418",,,,,,,,,,,,,,,
310000.0,1.0,13.8,1.0,5.0,0.0,"Новогиреевская ул.,  16к1","37.793229,55.760859",,,,,,,,,,,,,,,
1045000.0,2.0,45.8,12.0,12.0,1.0,"Шипиловская ул.,  64к1","37.753667,55.622970",,,,,,,,,,,,,,,
985000.0,2.0,38.9,13.0,14.0,1.0,"Вешняковская ул.,  28/21к2","37.819568,55.718060",,,,,,,,,,,,,,,
434005.0,1.0,12.1,1.0,9.0,0.0,"Каширское ш.,  128к2","37.717672,55.602973",,,,,,,,,,,,,,,
1550000.0,3.0,60.3,2.0,9.0,1.0,"Нагатинская наб.,  34","37.669360,55.684777",,,,,,,,,,,,,,,
1100000.0,1.0,38.6,5.0,12.0,1.0,"Студёный пр.,  19","37.670492,55.893319",,,,,,,,,,,,,,,
334000.0,1.0,16.7,1.0,4.0,0.0,"пр-т Мира,  77к1","37.634299,55.789942",,,,,,,,,,,,,,,
4020000.0,2.0,78.0,16.0,24.0,1.0,"Верхняя ул.,  20к1","37.574381,55.779216",,,,,,,,,,,,,,,
900000.0,1.0,27.0,3.0,7.0,0.0,"Нижегородская ул.,  32с3","37.690255,55.737020",,,,,,,,,,,,,,,
5178800.0,4.0,115.9,2.0,10.0,1.0,"Кутузовский пр-т,  30","37.473770,55.697346",,,,,,,,,,,,,,,
2050000.0,3.0,80.0,4.0,5.0,1.0,"Судостроительная ул.,  26к1","37.683643,55.683163",,,,,,,,,,,,,,,
1500000.0,2.0,51.3,15.0,16.0,1.0,"Кировоградская ул.,  19к1","37.602535,55.605760",,,,,,,,,,,,,,,
1260000.0,2.0,37.7,1.0,14.0,1.0,"Озёрная ул.,  31к3","37.451932,55.672311",,,,,,,,,,,,,,,
1010000.0,1.0,24.0,2.0,6.0,0.0,"Гагаринский пер.,  14","37.594755,55.744799",,,,,,,,,,,,,,,
1150000.0,2.0,51.2,8.0,17.0,1.0,"ул. Лётчика Грицевца,  12","37.311229,55.624179",,,,,,,,,,,,,,,
460000.0,1.0,20.5,2.0,5.0,0.0,"Яснополянская ул.,  3к2","37.787354,55.722664",,,,,,,,,,,,,,,
1500000.0,2.0,51.3,15.0,16.0,1.0,"Кировоградская ул.,  19к1","37.602535,55.605760",,,,,,,,,,,,,,,
2510640.0,3.0,88.7,8.0,12.0,1.0,"3-й Балтийский пер.,  6к3","37.415002,55.719009",,,,,,,,,,,,,,,
999900.0,2.0,47.1,11.0,14.0,1.0,"Вешняковская ул.,  28/21к2","37.819568,55.718060",,,,,,,,,,,,,,,
435000.0,1.0,11.7,1.0,9.0,0.0,"Уральская ул., 8","37.799472,55.815802",,,,,,,,,,,,,,,
440000.0,1.0,20.7,2.0,5.0,0.0,"ул. Металлургов,  33","37.794972,55.760074",,,,,,,,,,,,,,,
427500.0,1.0,17.1,1.0,17.0,0.0,"ул. Барышиха,  40к1","37.343892,55.852940",,,,,,,,,,,,,,,
1330000.0,1.0,40.1,6.0,24.0,1.0,"Варшавское ш.,  100к1","37.618884,55.646243",,,,,,,,,,,,,,,
1725000.0,1.0,26.7,2.0,5.0,0.0,"ул. Петровка,  26с5","37.616988,55.766172",,,,,,,,,,,,,,,
6940000.0,3.0,137.5,12.0,24.0,1.0,"ул. Авиаконструктора Сухого,  2к1","37.542572,55.786414",,,,,,,,,,,,,,,
2750000.0,2.0,44.0,9.0,12.0,1.0,"2-й Монетчиковский пер.,  2/12","37.628999,55.731739",,,,,,,,,,,,,,,
1699999.0,3.0,58.3,7.0,9.0,1.0,"Тепличный пер.,  7","37.494476,55.791582",,,,,,,,,,,,,,,
1780000.0,3.0,76.6,9.0,17.0,1.0,"Паромная ул.,  9к1","37.763055,55.636976",,,,,,,,,,,,,,,
1399000.0,1.0,40.6,9.0,11.0,1.0,"б-р Андрея Тарковского,  7","37.343919,55.626594",,,,,,,,,,,,,,,
1030000.0,1.0,36.0,3.0,12.0,1.0,"Дмитровское ш.,  64к2","37.562775,55.856043",,,,,,,,,,,,,,,
455000.0,1.0,10.0,1.0,5.0,0.0,"ул. Чаплыгина,  8с1","37.646830,55.763366",,,,,,,,,,,,,,,
860000.0,1.0,28.0,3.0,4.0,0.0,"2-й Вольный пер.,  11","37.739240,55.773793",,,,,,,,,,,,,,,
1100000.0,1.0,28.0,2.0,6.0,0.0,"Трёхпрудный пер.,  10/2","37.597531,55.765412",,,,,,,,,,,,,,,
4870000.0,3.0,98.0,11.0,18.0,1.0,"Ленинградский пр-т,  29к1","37.564042,55.785169",,,,,,,,,,,,,,,
999000.0,1.0,35.1,6.0,14.0,1.0,"ул. Коминтерна,  26к2","37.684847,55.866223",,,,,,,,,,,,,,,
1262200.0,3.0,73.8,15.0,17.0,1.0,"Мячковский б-р,  9","37.756685,55.655884",,,,,,,,,,,,,,,
1485000.0,3.0,62.7,12.0,12.0,1.0,"ул. Лескова,  22","37.609146,55.896337",,,,,,,,,,,,,,,
2010000.0,1.0,42.3,40.0,44.0,1.0,"Ходынская ул.,  2","37.564212,55.770806",,,,,,,,,,,,,,,
392000.0,1.0,18.0,1.0,5.0,0.0,"Новогиреевская ул.,  16к1","37.793229,55.760859",,,,,,,,,,,,,,,
280000.0,1.0,11.0,1.0,5.0,0.0,"Чуксин тупик,  4","37.558302,55.807365",,,,,,,,,,,,,,,
999999.0,1.0,33.8,3.0,12.0,1.0,"Дубнинская ул.,  20к2","37.563898,55.869708",,,,,,,,,,,,,,,
1700000.0,3.0,65.0,1.0,9.0,1.0,"ул. Цюрупы,  9","37.572872,55.667264",,,,,,,,,,,,,,,
660000.0,1.0,15.6,5.0,8.0,0.0,"Электрозаводская ул.,  14с1","37.706766,55.787513",,,,,,,,,,,,,,,
2165285.0,1.0,29.1,6.0,6.0,0.0,"ул. Усачёва,  62","37.562874,55.724865",,,,,,,,,,,,,,,
515000.0,1.0,10.1,2.0,5.0,0.0,"Студенческая ул.,  19к1","37.549588,55.742524",,,,,,,,,,,,,,,
1700000.0,1.0,36.7,14.0,27.0,1.0,"Шелепихинская наб.,  42к2","37.500270,55.767484",,,,,,,,,,,,,,,
2360000.0,2.0,60.0,11.0,25.0,1.0,"Аминьевское ш.,  4Дк1","37.466494,55.699994",,,,,,,,,,,,,,,
1989000.0,2.0,51.5,11.0,12.0,1.0,"ул. Крутицкий Вал,  3","37.664788,55.729615",,,,,,,,,,,,,,,
2710000.0,3.0,87.6,19.0,20.0,1.0,"Дмитровское ш.,  107к2","37.541898,55.879707",,,,,,,,,,,,,,,
4480000.0,3.0,95.0,19.0,37.0,1.0,"Шелепихинская наб.,  34к1","37.513440,55.761310",,,,,,,,,,,,,,,
2873730.0,3.0,87.4,16.0,18.0,1.0,"Ленинградский пр-т,  76к2","37.515290,55.806474",,,,,,,,,,,,,,,
415100.0,1.0,11.8,1.0,9.0,0.0,"Чертановская ул.,  58к2","37.584523,55.602617",,,,,,,,,,,,,,,
5124880.0,3.0,97.3,12.0,12.0,1.0,"Климентовский пер.,  2","37.631595,55.741181",,,,,,,,,,,,,,,
1110000.0,2.0,45.4,1.0,9.0,1.0,"ул. Кухмистерова,  13","37.728173,55.685356",,,,,,,,,,,,,,,
1020000.0,1.0,33.0,1.0,5.0,1.0,"Дмитровское ш.,  21к1","37.571758,55.822407",,,,,,,,,,,,,,,
850000.0,1.0,28.1,11.0,25.0,0.0,"ул. Илимская, вл. 3/5","37.581415,55.890558",,,,,,,,,,,,,,,
1400000.0,2.0,35.3,6.0,25.0,1.0,"квартал № 100, 1к2","37.347476,55.803231",,,,,,,,,,,,,,,
1550000.0,2.0,44.4,1.0,5.0,1.0,"Шелепихинская наб.,  16","37.519404,55.755211",,,,,,,,,,,,,,,
1050000.0,1.0,35.2,6.0,12.0,1.0,"2-я Пугачёвская ул.,  9к1","37.730194,55.793991",,,,,,,,,,,,,,,
5995579.0,2.0,74.6,15.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.580939,55.780335",,,,,,,,,,,,,,,
4184645.0,3.0,90.8,10.0,22.0,1.0,"ул. Полковая, вл. 1","37.599983,55.797817",,,,,,,,,,,,,,,
4000000.0,2.0,79.0,11.0,15.0,1.0,"Ленинградский пр-т,  36с38","37.567186,55.789472",,,,,,,,,,,,,,,
991000.0,1.0,25.0,2.0,10.0,1.0,"Подъёмная ул.,  14с37","37.707521,55.742448",,,,,,,,,,,,,,,
928000.0,2.0,42.3,2.0,5.0,1.0,"Мартеновская ул.,  16/36","37.802607,55.753007",,,,,,,,,,,,,,,
928000.0,2.0,42.3,2.0,5.0,1.0,"Мартеновская ул.,  16/36","37.802607,55.753007",,,,,,,,,,,,,,,
3350000.0,2.0,93.5,22.0,22.0,1.0,"1-я Магистральная ул.,  25","37.517976,55.770821",,,,,,,,,,,,,,,
1199000.0,1.0,28.0,4.0,6.0,0.0,"Чистопрудный б-р,  11с1","37.644189,55.762637",,,,,,,,,,,,,,,
1312500.0,2.0,37.5,4.0,9.0,1.0,"ул. Кибальчича,  10","37.651565,55.815387",,,,,,,,,,,,,,,
4000000.0,2.0,79.0,11.0,15.0,1.0,"Ленинградский пр-т,  36с38","37.567186,55.789472",,,,,,,,,,,,,,,
1000000.0,1.0,31.5,4.0,17.0,1.0,"пр-т Куприна,  18к2","37.488152,55.546755",,,,,,,,,,,,,,,
1700000.0,2.0,55.4,11.0,17.0,1.0,"ул. Вилиса Лациса,  15","37.425477,55.863121",,,,,,,,,,,,,,,
2150000.0,3.0,63.2,10.0,12.0,1.0,"ул. Жебрунова,  1","37.679700,55.785311",,,,,,,,,,,,,,,
1800000.0,3.0,77.0,2.0,16.0,1.0,"ул. Академика Анохина,  42к2","37.467536,55.657291",,,,,,,,,,,,,,,
2699000.0,3.0,68.0,15.0,40.0,1.0,"б-р Братьев Весниных,  1","37.640785,55.699000",,,,,,,,,,,,,,,
1349990.0,3.0,63.0,9.0,12.0,1.0,"3-й Дорожный пр.,  5к2","37.614716,55.602459",,,,,,,,,,,,,,,
1160000.0,1.0,35.0,12.0,12.0,1.0,"Каспийская ул.,  2/1","37.683590,55.634827",,,,,,,,,,,,,,,
2534100.0,3.0,86.1,9.0,22.0,1.0,"Малая Очаковская ул.,  6","37.438116,55.668351",,,,,,,,,,,,,,,
3400000.0,3.0,85.7,5.0,17.0,1.0,"Корабельная ул.,  17к2","37.697307,55.682762",,,,,,,,,,,,,,,
1800000.0,2.0,60.5,7.0,17.0,1.0,"ул. Чистова,  3А","37.736545,55.697823",,,,,,,,,,,,,,,
950000.0,1.0,32.0,4.0,9.0,1.0,"2-я Владимирская ул.,  21/9","37.781209,55.757784",,,,,,,,,,,,,,,
6439020.0,4.0,118.4,6.0,7.0,1.0,"Шлюзовая наб.,  2А","37.644019,55.730953",,,,,,,,,,,,,,,
1280000.0,2.0,46.8,9.0,12.0,1.0,"Симферопольский пр.,  14","37.616306,55.666640",,,,,,,,,,,,,,,
1450000.0,2.0,37.6,3.0,9.0,1.0,"ул. Трофимова, 19к1","37.675846,55.703231",,,,,,,,,,,,,,,
7500000.0,1.0,60.8,28.0,62.0,1.0,"Краснопресненская наб.,  14Ак3","37.548501,55.752060",,,,,,,,,,,,,,,
